,mslp
0,100859.25
1,100654.0
2,100643.0625
3,100760.4375
4,100863.25
5,100720.625
6,100612.875
7,100663.1875
8,100761.625
9,100672.8125
10,100571.75
11,100648.5
12,100755.0625
13,100627.125
14,100458.75
15,100404.75
16,100634.3125
17,100597.1875
18,100444.4375
19,100530.6875
20,100624.4375
21,100545.25
22,100323.0
23,100279.0
24,100183.375
25,100025.375
26,99818.1875
27,99785.8125
28,99643.3125
29,99571.4375
30,99407.5625
31,99353.0625
32,99297.1875
33,99193.375
34,99120.5
35,99105.625
36,99225.875
37,99095.375
38,98898.8125
39,98878.0625
40,99002.0625
41,98874.0625
42,98755.9375
43,98696.4375
44,98525.3125
45,98376.4375
46,98122.0625
47,98066.0
48,97868.75
49,97807.625
50,97695.5625
51,97577.5
52,97350.25
53,97309.25
54,97092.5
55,96902.6875
56,96904.125
57,97363.875
58,97726.625
59,97462.0625
60,97495.125
61,97441.875
62,97140.625
63,97013.125
64,97010.875
65,96944.125
66,96660.3125
67,96402.5
68,96432.8125
69,96594.3125
70,96570.75
71,96581.375
72,96886.625
73,97554.8125
74,97852.0
75,97981.5
76,98493.875
77,98845.8125
78,99065.625
79,99174.5625
80,99465.5
81,99750.3125
82,99789.375
83,99662.3125
84,99891.3125
