,tot_Prec_Intg
0,722.4047929048538
1,746.7010617256165
2,829.5465260744095
3,902.3234993219376
4,949.7958421707153
5,927.3798018693924
6,802.0346611738205
7,997.7462887763977
8,939.1164779663086
9,692.1915709972382
10,627.649575471878
11,813.8356357812881
12,984.8552197217941
13,985.0918501615524
14,889.3509209156036
15,1093.948632478714
16,806.2536269426346
17,689.1276687383652
18,607.4463576078415
19,787.065401673317
20,899.6084332466125
21,864.9912476539612
22,850.5509793758392
23,961.7719054222107
24,814.3648505210876
25,642.5625830888748
26,594.3504720926285
27,775.3312587738037
28,863.6268973350525
29,991.2372380495071
30,969.289168715477
31,752.8851181268692
32,653.5430997610092
33,588.8953804969788
34,560.486689209938
35,737.757533788681
36,800.7043600082397
37,841.509997844696
38,914.2858535051346
39,942.593663930893
40,763.9414072036743
41,657.9345464706421
42,614.1716241836548
43,733.2557439804077
44,870.2702820301056
45,994.4996237754822
46,861.5110069513321
47,895.8575129508972
48,785.9930396080017
49,515.6728625297546
50,426.1550307273865
51,624.430924654007
52,542.1798676252365
53,532.4400961399078
54,457.38086104393005
55,591.0144746303558
56,488.32863569259644
57,450.1684010028839
58,445.13121247291565
59,327.3200988769531
60,325.5734592676163
61,334.3251347541809
62,296.662300825119
63,209.11596715450287
64,242.49009788036346
65,287.38193213939667
66,246.3899552822113
67,203.67078483104706
68,212.44734525680542
69,162.40194439888
70,85.52655577659607
71,30.037835240364075
72,27.033984661102295
