,Prec_Intg
0,257.95964524149895
1,291.45920649170876
2,274.30420741438866
3,231.14824667572975
4,256.95569813251495
5,249.56034496426582
6,243.96048858761787
7,391.6141949594021
8,404.4035077095032
9,392.697025090456
10,321.6186724603176
11,330.3360566496849
12,286.4447236061096
13,277.78385207057
14,282.27686882019043
15,425.7904551923275
16,407.8325256705284
17,367.5735369324684
18,322.5747309625149
19,385.12736558914185
20,348.4862297773361
21,315.2933903038502
22,313.74605372548103
23,430.52101507782936
24,285.8772501349449
25,268.26249435544014
26,237.74391040205956
27,241.18833243846893
28,234.22002792358398
29,253.5744197666645
30,207.60886371135712
31,215.32321348786354
32,225.1339890062809
33,217.04930812120438
34,181.9353923201561
35,203.41409370303154
36,165.00355675816536
37,176.2065477669239
38,201.746616512537
39,244.90812793374062
40,239.44580927491188
41,235.62924936413765
42,238.03237825632095
43,264.13174346089363
44,213.88649940490723
45,171.76581546664238
46,215.62833338975906
47,245.21244689822197
48,234.6099354326725
49,202.53170281648636
50,153.50408852100372
51,204.6455442905426
52,207.59694278240204
53,208.094771951437
54,292.43286699056625
55,289.03599828481674
56,270.3215181827545
57,324.92222264409065
58,355.2440367639065
59,436.68411672115326
60,425.0985383987427
61,392.00594648718834
62,334.6211835741997
63,333.7959200143814
64,318.1158937513828
65,367.4461506307125
66,392.98901334404945
67,381.52754306793213
68,376.4619864523411
69,410.98156943917274
70,427.5060445070267
71,336.29653975367546
72,284.2032350599766
73,257.7598765492439
74,280.3720347583294
75,275.01896023750305
76,242.55648255348206
77,209.2617191374302
78,198.67610186338425
79,164.41170126199722
80,176.851786673069
81,156.21056780219078
82,149.6659591794014
83,139.6714523434639
84,109.27902534604073
85,83.83288979530334
86,76.85469463467598
87,77.16493681073189
88,76.97753608226776
89,76.80226117372513
90,71.73769176006317
91,94.57990527153015
92,70.15414535999298
93,61.9196891784668
94,64.38339129090309
95,69.38012316823006
96,71.59225642681122
