,w10mean
0,9.443977355957031
1,10.779417037963867
2,9.818153381347656
3,10.42817211151123
4,9.3677396774292
5,9.790114402770996
6,9.768754005432129
7,9.369039535522461
8,10.153170585632324
9,10.034235954284668
10,10.975208282470703
11,11.857523918151855
12,12.443686485290527
13,12.83665657043457
14,13.436063766479492
15,13.121257781982422
16,14.12771987915039
17,15.06243896484375
18,15.880404472351074
19,16.70766258239746
20,17.325286865234375
21,19.89510154724121
22,20.925188064575195
23,22.509624481201172
24,25.96390724182129
25,26.090274810791016
26,25.760705947875977
27,24.475305557250977
28,25.498397827148438
29,24.95297622680664
30,25.257999420166016
31,24.020572662353516
32,27.100801467895508
33,26.818862915039062
34,27.244159698486328
35,27.262487411499023
36,29.226266860961914
37,27.924285888671875
38,29.467493057250977
39,30.00424575805664
40,31.255159378051758
41,31.50510025024414
42,33.12751388549805
43,35.50935363769531
44,34.60141372680664
45,31.535905838012695
46,32.6827278137207
47,31.276823043823242
48,29.0040225982666
49,29.858278274536133
50,27.099334716796875
